EXT,COMP,best_lag_k (EXT leads by k),best_corr,min_p_HAC,R2,n_used,note
EXT_0,COMP_8,0,0.3312173839647775,0.0,0.22315447553893875,10918,
EXT_1,COMP_5,0,0.32507673603147663,0.0,0.20658015276529285,10918,
EXT_2,COMP_5,0,-0.31023515072910085,0.0,0.19360280296731536,10918,
EXT_2,COMP_8,0,-0.3381377657056049,0.0,0.22800381674978654,10918,
EXT_0,COMP_7,0,0.19095974809422744,9.50985653845052e-220,0.0770529892288111,10918,
EXT_1,COMP_9,0,0.18371292827073185,2.1343381033407477e-203,0.06538493194716277,10918,
EXT_0,COMP_5,0,0.1723280605211912,1.1111644295414728e-124,0.05924231843296479,10918,
EXT_0,COMP_4,0,-0.17212175000550697,3.5892830536728583e-124,0.0594148275191817,10918,
EXT_1,COMP_4,0,0.14732169525107716,4.9812228819115056e-110,0.040925480545419446,10918,
EXT_2,COMP_2,0,-0.133072186524875,2.3518029618469444e-98,0.04145157898389795,10918,
EXT_2,COMP_1,0,0.14078447416072373,6.5078086281700564e-83,0.035096393122087344,10918,
EXT_2,COMP_7,0,-0.11115566912192189,5.236064222570056e-78,0.028351452511125697,10918,
EXT_1,COMP_0,0,0.09910388264568513,9.122813629247516e-63,0.02120653083145929,10918,
EXT_2,COMP_9,0,-0.09515088191683904,1.1153457053093179e-51,0.02111258994548193,10918,
EXT_2,COMP_6,0,-0.09675884759057042,1.5602855418748865e-45,0.01896479467417811,10918,
EXT_0,COMP_0,0,-0.08542483247567513,2.3887241335059046e-44,0.018260640137724216,10918,
EXT_0,COMP_6,0,-0.08568089857024228,5.933340061772233e-39,0.018446082508297046,10918,
EXT_1,COMP_3,0,0.0739492841117474,4.003749641128264e-27,0.01359929814069949,10918,
EXT_2,COMP_3,0,-0.06639223352175043,4.452307979954405e-24,0.010108894449170291,10918,
EXT_1,COMP_7,0,0.0735553256073709,1.00097503541456e-23,0.012897844552938631,10918,
EXT_0,COMP_3,0,-0.05521477421046522,1.4574748782719095e-21,0.009598997846652746,10918,
EXT_2,COMP_0,0,-0.061687073640097186,6.417313779064556e-19,0.008472061077777093,10918,
EXT_2,COMP_4,0,0.030658591383277877,9.266067013793374e-12,0.005432860802391248,10918,
EXT_0,COMP_1,0,-0.04275332505983038,1.8175349624488762e-10,0.004729201439393593,10918,
EXT_0,COMP_2,0,-0.0320610379099768,1.7646609900285466e-08,0.004419183289751993,10918,
EXT_1,COMP_2,0,0.03954405710314602,4.680001414410258e-06,0.0035351220478448964,10918,
EXT_1,COMP_8,0,-0.03233694685108833,1.2706573932341399e-05,0.0037025247013113827,10918,
EXT_1,COMP_6,0,0.030877881228410946,5.59888176591384e-05,0.002826083757789477,10918,
EXT_1,COMP_1,24,0.030387569907930245,0.00011637002769630055,0.0037146729999810724,10918,
EXT_0,COMP_9,13,0.02864190404704835,0.005230478432209141,0.0030580363417178624,10918,
