EXT,COMP,best_lag_k (EXT leads by k),best_corr,min_p_HAC,R2,n_used,placebo_best_corr,placebo_R2,rolling_corr_mean,rolling_corr_std,note
EXT_0,COMP_8,0,0.3312173839647775,0.0,0.22315447553893875,10918,-0.02580175935240101,0.003774510992911151,0.32981890744041265,0.026427952576243096,
EXT_1,COMP_5,0,0.32507673603147663,0.0,0.20658015276529285,10918,-0.03167462525563024,0.00480880952732976,0.3226085958144735,0.017863452317394973,
EXT_2,COMP_5,0,-0.31023515072910085,0.0,0.19360280296731536,10918,-0.04572497392949134,0.005363639600404424,-0.30585985681656064,0.024891853007783384,
EXT_2,COMP_8,0,-0.3381377657056049,0.0,0.22800381674978654,10918,-0.034102337610979,0.0060593364814997,-0.33200019012026244,0.031184263037820327,
EXT_0,COMP_7,0,0.19095974809422744,9.50985653845052e-220,0.0770529892288111,10918,0.04501439466549384,0.006844077070066179,0.18877460819626968,0.01892374454431978,
EXT_1,COMP_9,0,0.18371292827073185,2.1343381033407477e-203,0.06538493194716277,10918,0.050009108847583736,0.008907665442353774,0.18308339513450986,0.017784653684978523,
EXT_0,COMP_5,0,0.1723280605211912,1.1111644295414728e-124,0.05924231843296479,10918,-0.036209143386383646,0.004930256710285907,0.1701911358428957,0.018150688741064108,
EXT_0,COMP_4,0,-0.17212175000550697,3.5892830536728583e-124,0.0594148275191817,10918,-0.018634119678651084,0.0028185665358473333,-0.17299587388606713,0.027487812470321248,
EXT_1,COMP_4,0,0.14732169525107716,4.9812228819115056e-110,0.040925480545419446,10918,-0.01969999508514367,0.0027459410154511144,0.14709369601052177,0.028820449859415474,
EXT_2,COMP_2,0,-0.133072186524875,2.3518029618469444e-98,0.04145157898389795,10918,0.028586189064683003,0.004545023588180985,-0.13635847353004657,0.024398936153189804,
EXT_2,COMP_1,0,0.14078447416072373,6.5078086281700564e-83,0.035096393122087344,10918,-0.03860326753282607,0.006796160357695369,0.13954956156999693,0.02804947772790543,
EXT_2,COMP_7,0,-0.11115566912192189,5.236064222570056e-78,0.028351452511125697,10918,0.04805239761997347,0.006235540949733109,-0.10533102330789272,0.022916925168988196,
EXT_1,COMP_0,0,0.09910388264568513,9.122813629247516e-63,0.02120653083145929,10918,-0.04215983393595225,0.009039655826182935,0.09780202645165931,0.013747044574336214,
EXT_2,COMP_9,0,-0.09515088191683904,1.1153457053093179e-51,0.02111258994548193,10918,-0.03220003094702662,0.0037970139890721732,-0.09553555143338678,0.029254985395820682,
EXT_2,COMP_6,0,-0.09675884759057042,1.5602855418748865e-45,0.01896479467417811,10918,-0.02966424652869503,0.0037669497893644266,-0.0992155406216669,0.02419246995213893,
EXT_0,COMP_0,0,-0.08542483247567513,2.3887241335059046e-44,0.018260640137724216,10918,0.038512739977413786,0.004075880427212741,-0.07807973355922698,0.016517246868205153,
EXT_0,COMP_6,0,-0.08568089857024228,5.933340061772233e-39,0.018446082508297046,10918,-0.029738283894758077,0.004329687403652804,-0.07851457649953458,0.02415657578496221,
EXT_1,COMP_3,0,0.0739492841117474,4.003749641128264e-27,0.01359929814069949,10918,0.04790210494059223,0.005699236308549516,0.07299410031154832,0.03631809433828726,
EXT_2,COMP_3,0,-0.06639223352175043,4.452307979954405e-24,0.010108894449170291,10918,-0.03589183397703651,0.007702184663384126,-0.06530897495111221,0.03063548434862139,
EXT_1,COMP_7,0,0.0735553256073709,1.00097503541456e-23,0.012897844552938631,10918,-0.029158268038146515,0.004555661947426515,0.07423649119117863,0.04436554489925659,
EXT_0,COMP_3,0,-0.05521477421046522,1.4574748782719095e-21,0.009598997846652746,10918,0.03573445997992422,0.0056667911209022925,-0.04905300184676623,0.028602899576316825,
EXT_2,COMP_0,0,-0.061687073640097186,6.417313779064556e-19,0.008472061077777093,10918,-0.03181922442283644,0.002950533849237824,-0.06437783819237068,0.022404505220311146,
EXT_2,COMP_4,0,0.030658591383277877,9.266067013793374e-12,0.005432860802391248,10918,0.034059007628672165,0.005061296894306011,0.03283990592021467,0.036955473678277596,
EXT_0,COMP_1,0,-0.04275332505983038,1.8175349624488762e-10,0.004729201439393593,10918,0.0278541541048576,0.004576500766133362,-0.04194981789699611,0.023356594343985557,
EXT_0,COMP_2,0,-0.0320610379099768,1.7646609900285466e-08,0.004419183289751993,10918,0.016197730424401247,0.0014016209798556334,-0.027244877446722212,0.028989821035442426,
EXT_1,COMP_2,0,0.03954405710314602,4.680001414410258e-06,0.0035351220478448964,10918,0.038501926155325404,0.004836829290023714,0.04337992461821139,0.030116370379575607,
EXT_1,COMP_8,0,-0.03233694685108833,1.2706573932341399e-05,0.0037025247013113827,10918,-0.02613700735779438,0.004264692752224075,-0.03236951466101705,0.016319727977529824,
EXT_1,COMP_6,0,0.030877881228410946,5.59888176591384e-05,0.002826083757789477,10918,0.06166687288620534,0.008383181076422663,0.026163199082933627,0.03183813691432528,
EXT_1,COMP_1,24,0.030387569907930245,0.00011637002769630055,0.0037146729999810724,10918,0.0353539788559354,0.0060191813652126225,0.03656756702559027,0.030555166435030746,
EXT_0,COMP_9,13,0.02864190404704835,0.005230478432209141,0.0030580363417178624,10918,0.034908977712128954,0.0056760799036224,0.031090684028924686,0.02586881076880318,
