n,gap_rate(idx jumps >1),max_gap,price_min,price_max,unique_price_ratio,unique_diff_ratio,pct_zero_price_change,note,symbol
10950,0.0,1,50.1509,290.6058,0.9952511415525114,0.9985386793314458,0.0,,COMP_0
10950,0.0,1,52.9783,210.0376,0.9937899543378995,0.9976253539135994,0.0,,COMP_1
10950,0.0,1,22.7764,142.8551,0.9914155251141552,0.9976253539135994,0.0,,COMP_2
10950,0.0,1,43.4903,182.9305,0.9947945205479453,0.9975340213718148,0.0,,COMP_3
10950,0.0,1,17.7784,98.1526,0.9917808219178083,0.9963466983286144,0.0,,COMP_4
10950,0.0,1,10.6671,168.3676,0.988675799086758,0.9965293634121838,0.0,,COMP_5
10950,0.0,1,50.5931,157.8272,0.9927853881278539,0.996986026121107,0.0,,COMP_6
10950,0.0,1,37.5042,136.6014,0.9907762557077625,0.9962553657868298,0.0,,COMP_7
10950,0.0,1,11.151,107.3843,0.9825570776255708,0.9961640332450452,0.0,,COMP_8
10950,0.0,1,24.5023,137.1879,0.9920547945205479,0.997716686455384,0.0,,COMP_9
10950,0.0,1,111.2163,788.0927,0.9985388127853881,0.999726002374646,0.0,,EXT_0
10950,0.0,1,78.7329,372.1472,0.9974429223744292,0.9990866745821536,0.0,,EXT_1
10950,0.0,1,5.5861,121.4679,0.9814611872146118,0.9947940451182756,0.0,,EXT_2
