symbol,series,method,rank,period_ticks,frequency,power
COMP_7,returns,periodogram,1,6.103121516164995,0.16385057996164032,7.568012567949868e-05
COMP_7,returns,periodogram,2,5.02939825447864,0.19883094346515662,6.106609910760979e-05
COMP_7,returns,periodogram,3,5.102050326188257,0.19599963466983286,5.669942074732273e-05
COMP_7,returns,periodogram,4,5.918378378378379,0.16896520230158005,5.496431862410899e-05
COMP_7,returns,periodogram,5,5.3279805352798055,0.1876883733674308,5.227330012422835e-05
COMP_7,abs_returns,periodogram,1,5.867631296891747,0.17042652297013425,0.0001027811202461205
COMP_7,abs_returns,periodogram,2,22.390593047034766,0.044661612932687916,6.352214668160547e-05
COMP_7,abs_returns,periodogram,3,88.29838709677419,0.011325235181295095,5.9776892019441126e-05
COMP_7,abs_returns,periodogram,4,57.93121693121694,0.017261850397296555,5.6193699007814076e-05
COMP_7,abs_returns,periodogram,5,19.58676207513417,0.05105489085761256,5.586907305005149e-05
COMP_7,returns,acf_peaks,1,42.0,0.023809523809523808,0.03483292741723386
COMP_7,returns,acf_peaks,2,384.0,0.0026041666666666665,0.033649106510209824
COMP_7,returns,acf_peaks,3,1373.0,0.0007283321194464676,0.033482997878888254
COMP_7,returns,acf_peaks,4,1066.0,0.0009380863039399625,0.032209639464420466
COMP_7,returns,acf_peaks,5,1254.0,0.0007974481658692185,0.029810875265973705
COMP_7,abs_returns,acf_peaks,1,1395.0,0.0007168458781362007,0.02967642865577914
COMP_7,abs_returns,acf_peaks,2,1162.0,0.0008605851979345956,0.029379374769429832
COMP_7,abs_returns,acf_peaks,3,746.0,0.0013404825737265416,0.02922630984465707
COMP_7,abs_returns,acf_peaks,4,1878.0,0.0005324813631522897,0.027488983765316364
COMP_7,abs_returns,acf_peaks,5,1093.0,0.0009149130832570906,0.02746995503491837
COMP_8,returns,periodogram,1,6.623714458560194,0.1509726915700064,0.00039790558102946845
COMP_8,returns,periodogram,2,5.299612778315586,0.18869303132706183,0.00033330515434126356
COMP_8,returns,periodogram,3,5.179280983916746,0.19307699333272443,0.0003212502787383071
COMP_8,returns,periodogram,4,6.5878459687123945,0.15179468444606814,0.0003145985948559662
COMP_8,returns,periodogram,5,5.196487897484576,0.19243766554023198,0.0002910765235273297
COMP_8,abs_returns,periodogram,1,8.238525206922498,0.12138094803178372,0.0003290389439512345
COMP_8,abs_returns,periodogram,2,13.25544794188862,0.07544067951411088,0.00027986468398875203
COMP_8,abs_returns,periodogram,3,12.498858447488585,0.08000730660334276,0.0002728422681774784
COMP_8,abs_returns,periodogram,4,116.47872340425532,0.008585258927755959,0.00025696984937025416
