symbol,n_ret,note,regime0_weighted_std,regime1_weighted_std,high_vol_regime,current_high_vol_prob,current_regime,trans_p00,trans_p01,trans_p10,trans_p11,loglike,aic,bic
COMP_0,10949,,0.9999526089601118,0.9999546971481865,1,0.8254617483646535,1,0.21349420999172952,0.16629862477045698,0.7865057900082705,0.833701375229543,-15535.457977258393,31082.915954516786,31126.721974958025
COMP_1,10949,,0.9999490505620027,0.9999557241377784,1,0.7915044342765759,1,0.3264604896107842,0.17742911747646933,0.6735395103892158,0.8225708825235307,-15535.457977219341,31082.915954438682,31126.72197487992
COMP_2,10949,,0.5754245389569722,1.0932839059017418,1,0.9599272987831228,1,0.7756498200710276,0.0655175868818758,0.22435017992897244,0.9344824131181242,-15454.815552817892,30921.631105635784,30965.437126077024
COMP_3,10949,,0.9999532446890425,0.9999545927664846,1,0.8070713635106056,1,0.24667407049637824,0.1800808596541169,0.7533259295036218,0.8199191403458831,-15535.457977237002,31082.915954474003,31126.721974915243
COMP_4,10949,,0.9999549280335859,0.9999541863020949,0,0.19736215030595766,1,0.30221614179167866,0.17156854091546608,0.6977838582083213,0.8284314590845339,-15535.457978007653,31082.915956015306,31126.721976456545
COMP_5,10949,,0.6351965787554729,1.2302660487668744,1,0.8878800469132507,1,0.8357619527475358,0.14138708635268726,0.16423804725246416,0.8586129136473127,-15286.684699864494,30585.36939972899,30629.175420170228
COMP_6,10949,,0.9999366194684581,0.9999584103369827,1,0.8129167492385517,1,0.2921808539974198,0.1629446067399253,0.7078191460025802,0.8370553932600747,-15535.457989153547,31082.915978307094,31126.721998748333
COMP_7,10949,,0.677702615100706,1.1078902469067557,1,0.7348226694623207,1,0.8238268136304878,0.07414556533409514,0.17617318636951218,0.9258544346659049,-15473.786892704044,30959.573785408087,31003.379805849327
COMP_8,10949,,0.22351962408886672,1.0419701173909384,1,0.9999999978112617,1,0.39905034886625396,0.054267639392514826,0.600949651133746,0.9457323606074852,-15453.948003589408,30919.896007178817,30963.702027620056
COMP_9,10949,,0.9999498937236962,0.9999553588137059,1,0.8122715288289433,1,0.2849725643053885,0.1652892588681529,0.7150274356946116,0.8347107411318471,-15535.45797924028,31082.91595848056,31126.7219789218
EXT_0,10949,,0.9999573282293759,0.9999536179156991,0,0.19264207215349005,1,0.2857687332636346,0.1704228841275155,0.7142312667363654,0.8295771158724845,-15535.457977418524,31082.915954837048,31126.721975278288
EXT_1,10949,,0.7552807550370845,1.1148631569296927,1,0.6716831973203086,1,0.8402503647634055,0.09036690433149022,0.15974963523659447,0.9096330956685098,-15496.640570560328,31005.281141120657,31049.087161561896
EXT_2,10949,,0.5264638755593585,1.0670988900209801,1,0.9109367825575848,1,0.7562031233993441,0.04680933971043289,0.24379687660065585,0.9531906602895671,-15471.852945314855,30955.70589062971,30999.51191107095
