n,ADF_logprice_p,KPSS_logprice_p,ADF_return_p,KPSS_return_p,LjungBox_r_p,LjungBox_r2_p,ARCH_LM_p,note,symbol
10949,0.0,0.1,0.0,0.1,0.0,5.4671166691503663e-48,2.424638734697984e-53,,COMP_0
10949,0.0,0.02740569471522791,0.0,0.1,0.0,4.2863359927399015e-121,5.243744881424401e-131,,COMP_1
10949,0.0,0.1,0.0,0.1,0.0,1.7762871667974556e-150,4.810768676204597e-167,,COMP_2
10949,0.0,0.1,0.0,0.1,0.0,1.0923113364730391e-47,4.873047287252927e-50,,COMP_3
10949,0.0,0.1,0.0,0.1,0.0,1.3590681857953616e-95,2.93750170434427e-102,,COMP_4
10949,0.0,0.1,0.0,0.1,0.0,8.609737578934504e-192,1.0631521892735455e-219,,COMP_5
10949,0.0,0.1,0.0,0.1,0.0,9.706682561898655e-67,9.766062418679457e-74,,COMP_6
10949,0.0,0.01738932556511783,0.0,0.1,0.0,2.5278571325479663e-116,2.8297258004289072e-133,,COMP_7
10949,0.0,0.1,0.0,0.1,0.0,8.840196420305759e-46,1.255015942577209e-49,,COMP_8
10949,0.0,0.1,0.0,0.1,0.0,1.8073966185827353e-78,1.8675855683179537e-85,,COMP_9
10949,0.0,0.034907369811694504,0.0,0.1,0.0,1.539651825799009e-79,1.0408990274487176e-86,,EXT_0
10949,0.0,0.1,0.0,0.1,0.0,2.3388458058668436e-125,9.199473169632963e-139,,EXT_1
10949,0.0,0.1,0.0,0.1,0.0,1.3536378811428992e-110,3.138670834379944e-123,,EXT_2
